count,city,number_of_veterans,male_population,foreign_born,average_household_size,median_age,state,race,total_population,state_code,female_population
8791,Wichita,23978,192354,40270,2.56,34.6,Kansas,American Indian and Alaska Native,389955,KS,197601
22304,Allen,5691,60626,19652,2.67,33.5,Pennsylvania,Black or African-American,120207,PA,59581
8454,Danbury,3752,43435,25675,2.74,37.3,Connecticut,Black or African-American,84662,CT,41227
67526,Nashville,27942,314231,88193,2.39,34.1,Tennessee,Hispanic or Latino,654596,TN,340365
11013,Stamford,2269,64941,44003,2.7,35.4,Connecticut,Asian,128877,CT,63936
335559,San Juan,,155408,,,41.4,Puerto Rico,Hispanic or Latino,342237,PR,186829
108471,Provo,2177,56231,10925,3.2800000000000002,23.6,Utah,White,115258,UT,59027
4447,San Marcos,5189,45246,21558,3.13,35.4,California,Black or African-American,92934,CA,47688
3151,Escondido,8110,76551,46298,3.27,33.3,California,American Indian and Alaska Native,151458,CA,74907
76349,Caguas,,34743,,,40.4,Puerto Rico,Hispanic or Latino,77008,PR,42265
8654,Lancaster,7892,80668,17247,3.25,30.9,California,Asian,161113,CA,80445
13169,Gaithersburg,2126,32211,28133,2.73,35.7,Maryland,Asian,67445,MD,35234
24987,Lakewood,4094,41523,18274,3.13,39.9,California,Hispanic or Latino,81592,CA,40069
29822,Elizabeth,1131,65896,63413,3.18,34.2,New Jersey,Black or African-American,129012,NJ,63116
37593,Westminster,3435,45538,42227,3.27,42.9,California,White,92111,CA,46573
15578,Chico,4519,46168,8425,2.5,29.9,California,Hispanic or Latino,90336,CA,44168
246677,Lincoln,14694,138544,22958,2.4,32.3,Nebraska,White,277346,NE,138802
162245,Cincinnati,13699,143654,16896,2.08,32.7,Ohio,White,298537,OH,154883
14398,Escondido,8110,76551,46298,3.27,33.3,California,Asian,151458,CA,74907
21227,Pittsburgh,17728,149690,28187,2.13,32.9,Pennsylvania,Asian,304385,PA,154695
13253,Jacksonville,8252,40015,3732,2.51,24.2,North Carolina,Black or African-American,67363,NC,27348
46037,Kansas City,24710,228430,37787,2.35,35.9,Missouri,Hispanic or Latino,475361,MO,246931
9059,Spokane,18044,102756,13253,2.34,36.6,Washington,Asian,213267,WA,110511
296133,Fort Worth,39182,414126,143404,2.88,32.6,Texas,Hispanic or Latino,836969,TX,422843
4032,Auburn,5401,36837,14842,2.73,37.1,Washington,Black or African-American,76580,WA,39743
25366,Surprise,11109,62875,9929,2.9,39.4,Arizona,Hispanic or Latino,128442,AZ,65567
605,College Station,2471,54125,16145,2.52,22.9,Texas,American Indian and Alaska Native,107899,TX,53774
456451,Louisville/Jefferson County metro government,39364,298451,37875,2.45,37.5,Kentucky,White,615389,KY,316938
111763,Spring Valley,10644,96808,61072,2.79,37.0,Nevada,White,193955,NV,97147
28380,Paradise,14112,122784,66712,2.65,37.2,Nevada,Asian,236946,NV,114162
630,Bossier City,8108,33428,2980,2.4,32.7,Louisiana,American Indian and Alaska Native,68097,LA,34669
30352,Passaic,693,36505,24174,3.56,30.4,New Jersey,White,71082,NJ,34577
2248,Yakima,4705,45147,15717,2.74,34.0,Washington,Asian,93700,WA,48553
1602,Springfield,7525,55639,4264,2.22,38.8,Illinois,American Indian and Alaska Native,117809,IL,62170
4590,Virginia Beach,54995,222684,38360,2.61,35.4,Virginia,American Indian and Alaska Native,452745,VA,230061
41431,Bayonne,2225,32705,21899,2.62,39.7,New Jersey,White,66303,NJ,33598
8033,Columbia,6526,52202,23249,2.68,37.9,Maryland,Hispanic or Latino,103467,MD,51265
6620,Norman,5578,59483,8705,2.47,30.9,Oklahoma,Black or African-American,120297,OK,60814
398,Lakewood,4094,41523,18274,3.13,39.9,California,American Indian and Alaska Native,81592,CA,40069
308,Lorain,4905,30844,1531,2.52,35.6,Ohio,Asian,63651,OH,32807
34897,Alafaya,4176,39504,15842,2.94,33.5,Florida,Hispanic or Latino,85264,FL,45760
2396,Federal Way,7135,49151,18565,2.68,36.4,Washington,American Indian and Alaska Native,95188,WA,46037
8193,Cranston,4702,38365,10631,2.56,39.9,Rhode Island,Black or African-American,81077,RI,42712
2479,Palm Coast,7950,39489,9084,2.76,48.8,Florida,Asian,82121,FL,42632
8743,Clifton,2603,41932,27979,3.11,38.5,New Jersey,Black or African-American,86341,NJ,44409
523,Joliet,7353,70863,22409,3.13,33.1,Illinois,American Indian and Alaska Native,150025,IL,79162
535,Downey,2281,53006,39977,3.45,37.3,California,American Indian and Alaska Native,114211,CA,61205
113981,Grand Prairie,7073,90811,44888,3.18,33.1,Texas,White,187755,TX,96944
1376,Evansville,9063,57198,3169,2.25,38.0,Indiana,Asian,117679,IN,60481
119814,Cary,7426,78932,30008,2.61,39.9,North Carolina,White,160514,NC,81582
2052,Farmington Hills,3650,37527,18033,2.41,42.1,Michigan,Hispanic or Latino,81332,MI,43805
57837,Napa,4678,39828,18449,2.84,37.2,California,White,80429,CA,40601
964,Cicero,629,43153,33801,3.89,28.5,Illinois,American Indian and Alaska Native,83867,IL,40714
58008,Beaumont,7584,57326,10516,2.47,31.6,Texas,Black or African-American,118110,TX,60784
78737,Sparks,7315,47780,15690,2.63,36.1,Nevada,White,96098,NV,48318
585,Roswell,3325,48637,16501,2.7,38.8,Georgia,American Indian and Alaska Native,94496,GA,45859
